Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+			
yes	yes	yes	no	no	65	Polanui	LLHS	RB	LT	KH	PLH	PLH191120	2023	Lindsey Hale	2019-11-20	8:50	2	NBBF	6	2	2					PLH191120	27.2	36.1	6.01	92.3	8.13	6.57	6.12	6.26	6.32	0.036				N	0	4	0			
yes	yes	yes	no	no	65	Polanui	LLHS	RB	LT	KH	PLT	PLT191120	2024	Lahaina Town	2019-11-20	9:09	2	NBBF	6	2	2					PLT191120	27.3	35.8	5.96	91.7	8.12	13.10	15.30	11.00	13.13	0.164				NA	0	1	0	4th turbidity reading 15.9 NTU		
yes	yes	no	no	no	65	Polanui	LLHS	RB	LT	KH	OSF	OSF191120	2027	Olowalu Pier	2019-11-20	9:40	2	NBBF	6	2	2					OSF191120	27.4	36.4	6.26	96.7	8.09	1.43	1.60	1.43	1.49	0.066				NA	0	0	0	High tide up to pier		
yes	yes	yes	no	no	66	Polanui	LLHS	BB	JM	KH	PFF	PFF191204	2022	505 Front St	2019-12-04	8:22	1	1	5	1	3					PFF191204	26.6	34.6	6.39	96.6	8.09	2.77	2.87	2.59	2.74	0.052				Y	0	15	0	PFF - stream flowing light		
yes	yes	yes	no	no	66	Polanui	LLHS	BB	JM	KH	PLH	PLH191204	2023	Lindsey Hale	2019-12-04	8:51	1	1	5	1	3					PLH191204	26.2	35.5	6.36	96.1	8.10	6.09	6.51	6.43	6.34	0.035				N	0	0	0			
yes	yes	yes	no	no	66	Polanui	LLHS	BB	JM	KH	PLT	PLT191204	2024	Lahaina Town	2019-12-04	9:12	1	1	5	1	3					PLT191204	26.3	35.1	6.17	93.2	8.11	31.20	30.60	29.50	30.43	0.028				NA	0	0	0			
yes	yes	no	no	no	66	Polanui	LLHS	BB	JM	KH	OSF	OSF191204	2027	Olowalu Pier	2019-12-04	9:46	1	1	5	1	3					OSF191204	26.8	35.9	6.74	103.1	8.09	0.80	1.03	1.01	0.95	0.135				NA	0	0	0	OSF - 4th turbidity reading taken (1.01)		
yes	yes	yes	no	no	67	Polanui	LLHS	JM	KH		PFF	PFF200108	2022	505 Front St	2020-01-08	8:20	2	NBBF	6	2	2					PFF200108	24.8	34.0	5.69	82.8	8.09	3.19	3.59	3.00	3.26	0.092				Y	0	13	0	Used 4th. turbidity reading.  3rd reading - 2.76 NTU		
yes	yes	yes	no	no	67	Polanui	LLHS	JM	KH		PLH	PLH200108	2023	Lindsey Hale	2020-01-08	8:47	2	NBBF	6	2	2					PLH200108	24.6	35.0	6.03	88.1	8.14	12.70	14.00	12.90	13.20	0.053				N	0	0	0			
yes	yes	yes	no	no	67	Polanui	LLHS	JM	KH		PLT	PLT200108	2024	Lahaina Town	2020-01-08	9:09	2	NBBF	6	2	2					PLT200108	24.9	34.3	6.13	89.7	8.14	8.92	10.80	10.80	10.17	0.107				NA	0	4	2	Campers indicated night time weather was cold and a little rainy.		
yes	yes	yes	no	no	67	Polanui	LLHS	JM	KH		OSF	OSF200108	2027	Olowalu Pier	2020-01-08	9:47	2	NBBF	6	2	2					OSF200108	23.7	35.4	6.80	98.0	8.17	1.38	1.46	1.70	1.51	0.110				NA	0	0	0			
yes	yes	yes	no	no	68	Polanui	LLHS	RB	JM	KH	PFF	PFF200129	2022	505 Front St	2020-01-29	8:12	1	1	5	1	3					PFF200129	24.2	35.5	6.30	91.7	8.10	5.59	5.40	5.51	5.50	0.017				Y	0	1	0			
yes	yes	yes	no	no	68	Polanui	LLHS	RB	JM	KH	PLH	PLH200129	2023	Lindsey Hale	2020-01-29	8:34	1	1	5	1	3					PLH200129	24.1	35.4	6.40	92.8	8.09	9.94	9.82	9.80	9.85	0.008				N	0	2	0			
yes	yes	yes	no	no	68	Polanui	LLHS	RB	JM	KH	PLT	PLT200129	2024	Lahaina Town	2020-01-29	8:53	1	1	5	1	3					PLT200129	24.5	35.1	6.11	89.1	8.07	10.10	9.36	9.01	9.49	0.059				NA	3	4	0			
yes	yes	no	no	no	68	Polanui	LLHS	RB	JM	KH	OSF	OSF200129	2027	Olowalu Pier	2020-01-29	9:30	1	1	5	1	3					OSF200129	24.6	35.8	6.70	98.3	8.07	2.38	2.39	2.40	2.39	0.004				NA	0	0	0			
yes	yes	yes	no	no	69	Polanui	LLHS	JM	KH		PFF	PFF200219	2022	505 Front St	2020-02-19	8:21	2	NBBF	6	2	2					PFF200219	24.1	34.8	6.16	88.2	8.10	7.29	8.52	8.76	8.19	0.096				Y	0	7	0	PFF stream path is ~20 feet north of typical flow path		
yes	yes	yes	no	no	69	Polanui	LLHS	JM	KH		PLH	PLH200219	2023	Lindsey Hale	2020-02-19	8:51	2	NBBF	6	2	2					PLH200219	24.3	35.5	6.18	89.9	8.12	1.14	1.05	1.03	1.07	0.055				N	0	3	0			
yes	yes	yes	no	no	69	Polanui	LLHS	JM	KH		PLT	PLT200219	2024	Lahaina Town	2020-02-19	9:17	2	NBBF	6	2	2					PLT200219	24.8	34.8	6.15	89.8	8.13	2.83	2.75	2.84	2.81	0.018				NA	2	3	0			
yes	yes	no	no	no	69	Polanui	LLHS	JM	KH		OSF	OSF200219	2027	Olowalu Pier	2020-02-19	9:54	2	NBBF	6	2	2					OSF200219	24.1	35.8	6.82	98.9	8.19	2.73	3.37	3.56	3.22	0.135				NA	0	0	0			
yes	yes	yes	no	no	70	Polanui	LLHS	RB	KH		PFF	PFF200311	2022	505 Front St	2020-03-11	8:15	1	1	5	1	3					PFF200311	24.5	35.6	5.52	81.0	8.06	3.05	2.68	2.27	2.67	0.146				Y	0	2	0	PFF - stream still flowing~30 feet to north straight to ocean		
yes	yes	yes	no	no	70	Polanui	LLHS	RB	KH		PLH	PLH200311	2023	Lindsey Hale	2020-03-11	8:45	1	1	5	1	3					PLH200311	24.3	35.0	6.02	87.9	8.08	5.98	5.55	6.08	5.87	0.048				N	0	3	0			
yes	yes	yes	no	no	70	Polanui	LLHS	RB	KH		PLT	PLT200311	2024	Lahaina Town	2020-03-11	9:04	1	1	5	1	3					PLT200311	24.8	34.7	6.10	89.6	8.08	6.99	6.19	6.39	6.52	0.064				NA	2	3	0			
yes	yes	no	no	no	70	Polanui	LLHS	RB	KH		OSF	OSF200311	2027	Olowalu Pier	2020-03-11	9:35	1	1	5	1	3					OSF200311	25.0	35.5	6.36	94.0	8.07	2.59	2.19	2.14	2.31	0.107				NA	0	0	0			
yes	yes	yes	no	no	71	Polanui	LLHS	TS	JS		PFF	PFF200513	2022	505 Front St	2020-05-13	8:25	1	1	4	1	1					PFF200513	26.1	34.7	6.17	92.4	8.11	1.50	1.33	1.26	1.36	0.091				N	0	0	0	Meters and probes used were from the southside lab		
yes	yes	yes	no	no	71	Polanui	LLHS	TS	JS		PLH	PLH200513	2023	Lindsey Hale	2020-05-13	8:40	1	1	4	1	1					PLH200513	26.4	33.4	5.79	86.7	8.10	5.26	5.17	5.21	5.21	0.009				N	0	0	0	PFF: pH3 meter read 8.19; pH4 meter reach 8.11; switched to pH4 meter for rest of sampling		
yes	yes	yes	no	no	71	Polanui	LLHS	TS	JS		PLT	PLT200513	2024	Lahaina Town	2020-05-13	9:10	1	1	4	1	1					PLT200513	26.4	34.5	6.27	94.4	8.12	3.49	2.92	3.08	3.16	0.093				Y	0	0	0	PLT: stream flowing about 150' N of sampling site; PLH; pH3 read 8.19		
yes	yes	yes	no	no	71	Polanui	LLHS	TS	JS		OSF	OSF200513	2027	Olowalu Pier	2020-05-13	9:45	1	1	4	1	1					OSF200513	27.2	34.5	6.70	102.3	8.13	2.00	2.07	1.94	2.00	0.032				NA	0	0	0	PLH time is 8:40; PLT time is 9:10 (may not be clear on field data sheet)		
yes	yes	yes	no	no	72	Polanui	LLHS	JS	GS		PFF	PFF200617	2022	505 Front St	2020-06-17	8:12	1	1	5	1	3					PFF200617	26.5	36.2	6.35	96.7	8.04	5.85	5.49	5.28	5.54	0.052				N	0	2	0			
yes	yes	yes	no	no	72	Polanui	LLHS	JS	GS		PLH	PLH200617	2023	Lindsey Hale	2020-06-17	8:35	1	1	5	1	3					PLH200617	26.4	36.2	6.53	99.3	8.05	2.18	2.28	2.37	2.28	0.042				N	1	0	0			
yes	yes	yes	no	no	72	Polanui	LLHS	JS	GS		PLT	PLT200617	2024	Lahaina Town	2020-06-17	8:55	1	1	5	1	3					PLT200617	26.8	36.0	6.12	93.6	8.03	6.96	6.38	6.84	6.73	0.046				N	1	0	0			
yes	yes	no	no	no	72	Polanui	LLHS	JS	GS		OSF	OSF200617	2027	Olowalu Pier	2020-06-17	9:27	1	1	5	1	3					OSF200617	26.9	36.5	6.82	104.6	8.13	2.77	2.85	3.17	2.93	0.072				N	0	0	0	OSF - no nutrients this session		
yes	yes	yes	no	no	73	Polanui	LLHS	JS	KH		PFF	PFF200708	2022	505 Front St	2020-07-08	8:15	1	1	5	1	3					PFF200708	26.2	36.0	6.26	94.8	8.05	2.96	3.05	3.35	3.12	0.065				Y	0	15	0			
yes	yes	yes	no	no	73	Polanui	LLHS	JS	KH		PLH	PLH200708	2023	Lindsey Hale	2020-07-08	8:42	1	1	5	1	3					PLH200708	26.4	35.5	6.13	92.9	8.07	8.70	10.90	9.75	9.78	0.112				N	0	2	0			
yes	yes	yes	no	no	73	Polanui	LLHS	JS	KH		PLT	PLT200708	2024	Lahaina Town	2020-07-08	9:05	1	1	5	1	3					PLT200708	27.0	35.8	5.80	88.9	8.05	5.34	5.35	5.23	5.31	0.013				N	0	0	0			
yes	yes	no	no	no	73	Polanui	LLHS	JS	KH		OSF	OSF200708	2027	Olowalu Pier	2020-07-08	9:40	1	1	5	1	3					OSF200708	26.6	36.6	6.78	103.6	8.05	2.39	3.35	3.28	3.01	0.178				N	0	0	0	OSF - no nutrients this session		
yes	yes	yes	no	no	74	Polanui	LLHS	JS	GS	RB	PFF	PFF200729	2022	505 Front St	2020-07-29	8:27	1	1	5	1	3					PFF200729	27.1	36.2	5.50	84.7	8.02	2.48	2.42	2.76	2.55	0.071				Y	11	2	0	Blank turb reading high, scratch on vial		
yes	yes	yes	no	no	74	Polanui	LLHS	JS	GS	RB	PLH	PLH200729	2023	Lindsey Hale	2020-07-29	8:51	1	1	5	1	3					PLH200729	27.1	35.4	6.07	93.1	8.06	9.82	10.70	10.40	10.31	0.043				N	0	3	0			
yes	yes	yes	no	no	74	Polanui	LLHS	JS	GS	RB	PLT	PLT200729	2024	Lahaina Town	2020-07-29	9:09	1	1	5	1	3					PLT200729	27.7	35.7	5.78	89.8	8.04	4.52	4.80	4.30	4.54	0.055				N	0	0	0			
yes	yes	no	no	no	74	Polanui	LLHS	JS	GS	RB	OSF	OSF200729	2027	Olowalu Pier	2020-07-29	9:40	1	1	5	1	3					OSF200729	26.7	36.6	6.34	97.2	8.04	1.60	1.60	1.70	1.63	0.035				N	0	0	0	OSF - no nutrients this session		
yes	yes	yes	no	no	75	Polanui	LLHS	GS	MB	KH	PFF	PFF200819	2022	505 Front St	2020-08-19	8:22	2	NBBF	6	2	2					PFF200819	26.7	34.8	5.65	85.3	8.04	3.09	2.90	3.17	3.05	0.045				Y	3	3	0			
yes	yes	yes	no	no	75	Polanui	LLHS	GS	MB	KH	PLH	PLH200819	2023	Lindsey Hale	2020-08-19	8:42	2	NBBF	6	2	2					PLH200819	26.9	34.5	5.53	83.8	8.04	3.93	4.01	3.93	3.96	0.012				N	0	2	0	PLH - Culvert completely covered w/ sand		
yes	yes	yes	no	no	75	Polanui	LLHS	GS	MB	KH	PLT	PLT200819	2024	Lahaina Town	2020-08-19	8:59	2	NBBF	6	2	2					PLT200819	26.9	34.8	5.79	88.1	8.05	1.73	1.85	1.61	1.73	0.069				N	2	2	0			
yes	yes	yes	no	no	75	Polanui	LLHS	GS	MB	KH	OCO	OCO200819	2028	Camp Olowalu	2020-08-19	9:34	2	NBBF	6	2	2					OCO200819	26.6	34.6	6.37	96.1	8.09	4.55	4.91	4.63	4.70	0.040				N	0	0	0			
yes	yes	yes	no	no	75	Polanui	LLHS	GS	MB	KH	OPP	OPP200819	2034	Papalaua Pali	2020-08-19	9:50	2	NBBF	6	2	2					OPP200819	26.2	34.8	6.66	99.9	8.18	2.68	2.66	2.42	2.59	0.056				N	0	0	0			
yes	yes	yes	no	no	76	Polanui	TMO	GS	MB	KH	PFF	PFF200910	2022	505 Front St	2020-09-10	8:20	1	NBBF	5	2	3					PFF200910	27.0	33.8	6.29	95.3	8.03	5.99	6.09	5.84	5.97	0.021				Y	0	3	0			
yes	yes	yes	no	no	76	Polanui	TMO	GS	MB	KH	PLH	PLH200910	2023	Lindsey Hale	2020-09-10	8:46	1	NBBF	5	2	3					PLH200910	27.3	34.8	6.28	96.2	8.03	15.2	16.00	15.80	15.67	0.027				N	0	2	0			
yes	yes	yes	no	no	76	Polanui	TMO	GS	MB	KH	PLT	PLT200910	2024	Lahaina Town	2020-09-10	9:02	1	NBBF	5	2	3					PLT200910	27.4	34.3	5.89	90.1	8.03	34.40	34.70	35.90	35.00	0.023				N	0	0	0	Collection near shore vs. farther out to buoy (high tide)		
yes	yes	yes	no	no	76	Polanui	TMO	GS	MB	KH	OCO	OCO200910	2028	Camp Olowalu	2020-09-10	9:30	1	NBBF	5	2	3					OCO200910	26.5	35.2	6.43	97.5	8.06	5.80	5.63	5.58	5.67	0.020				N	0	0	0			
yes	yes	yes	no	no	76	Polanui	TMO	GS	MB	KH	OPP	OPP200910	2034	Papalaua Pali	2020-09-10	9:47	1	NBBF	5	2	3					OPP200910	26.5	35.1	6.64	100.5	8.14	7.53	7.39	7.67	7.53	0.019				N	0	0	0	*Post sampling scratch on vial, new one used on 9/11		
yes	yes	yes	no	no	77	Polanui	TMO	GS	MB	RB	PFF	PFF200930	2022	505 Front St	2020-09-30	8:23	2	1	6	2	2					PFF200930	27.3	33.2	6.07	92.0	8.05	3.31	3.31	3.42	3.35	0.019				Y	0	2	0	1/2 ft waves. 6 surfers by harbor		
yes	yes	yes	no	no	77	Polanui	TMO	GS	MB	RB	PLH	PLH200930	2023	Lindsey Hale	2020-09-30	8:44	2	1	6	2	2					PLH200930	27.6	34.4	5.61	86.1	8.07	13.5	12.50	13.20	13.07	0.039				N	0	1	0	flat & turbid water		
yes	yes	yes	no	no	77	Polanui	TMO	GS	MB	RB	PLT	PLT200930	2024	Lahaina Town	2020-09-30	8:59	2	1	6	2	2					PLT200930	27.6	34.6	6.63	102.0	8.12	1.72	1.64	1.34	1.57	0.128				N	0	2	0	flat & turbid water		
yes	yes	yes	no	no	77	Polanui	TMO	GS	MB	RB	OSF	OSF200930	2027	Olowalu Pier	2020-09-30	9:29	2	1	6	2	2					OSF200930	28.1	35.1	6.42	99.8	8.02	4.19	3.84	4.93	4.32	0.129				N	0	1	0	flat, 5 people, 1 dog in the water		
yes	yes	yes	no	no	77	Polanui	TMO	GS	MB	RB	OCO	OCO200930	2028	Camp Olowalu	2020-09-30	9:44	2	1	6	2	2					OCO200930	28.6	35.0	6.17	96.5	8.06	3.24	3.23	3.43	3.30	0.034				N	1	0	0	flat		
yes	yes	yes	no	no	77	Polanui	TMO	GS	MB	RB	OPP	OPP200930	2034	Papalaua Pali	2020-09-30	10:00	2	1	6	2	2					OPP200930	28.6	35.1	6.57	103.0	8.14	4.84	5.39	5.05	5.09	0.054				N	5	0	0	1/2 ft waves. Campers & cars		
yes	yes	yes	no	no	78	Polanui	TMO	RB	KG	KH	PFF	PFF201021	2022	505 Front St	2020-10-21	8:15	1	NBBF	5	1	3					PFF201021	27.0	33.8	6.31	95.7	8.08	4.29	4.44	4.95	4.56	0.076				Y	0	0	0	Stream flowing steadily, super high tide (undermining shore vines)		
yes	yes	yes	no	no	78	Polanui	TMO	RB	KG	KH	PLH	PLH201021	2023	Lindsey Hale	2020-10-21	8:36	1	NBBF	5	1	3					PLH201021	26.9	34.9	6.30	96.2	8.08	11.90	11.90	11.20	11.67	0.035				N	0	1	0			
yes	yes	yes	no	no	78	Polanui	TMO	RB	KG	KH	PLT	PLT201021	2024	Lahaina Town	2020-10-21	8:55	1	NBBF	5	1	3					PLT201021	26.8	34.4	6.11	92.8	8.05	15.40	15.40	14.80	15.20	0.023				N	0	0	0			
yes	yes	yes	no	no	78	Polanui	TMO	RB	KG	KH	OCO	OCO201021	2028	Camp Olowalu	2020-10-21	9:24	1	NBBF	5	1	3					OCO201021	27.7	35.0	6.05	93.6	8.05	2.97	2.81	2.91	2.90	0.028				N	0	0	0			
yes	yes	yes	no	no	78	Polanui	TMO	RB	KG	KH	OPP	OPP201021	2034	Papalaua Pali	2020-10-21	9:39	1	NBBF	5	1	3					OPP201021	27.9	35.0	6.24	96.7	8.09	4.43	4.66	4.46	4.52	0.028				N	0	0	0			
yes	yes	yes	no	no	79	Polanui	TMO	GS	KG	RB	PFF	PFF201111	2022	505 Front St	2020-11-11	8:11	1	1	5	1	3					PFF201111	26.0	32.6	5.66	83.6	7.98	1.18	1.58	1.35	1.37	0.147				Y	0	12	0	DO Temp: 26.2, pH Temp: 26.1, small waves, calm water, small breeze, partly cloudy		
yes	yes	yes	no	no	79	Polanui	TMO	GS	KG	RB	PLH	PLH201111	2023	Lindsey Hale	2020-11-11	8:30	1	1	5	1	3					PLH201111	26.1	34.2	5.83	86.9	8.03	3.68	3.92	3.96	3.85	0.039				N	0	3	0	DO Temp: 26.3, pH Temp: 26.2, partly cloudy		
yes	yes	yes	no	no	79	Polanui	TMO	GS	KG	RB	PLT	PLT201111	2024	Lahaina Town	2020-11-11	8:48	1	1	5	1	3					PLT201111	26.1	34.2	5.95	88.7	8.05	6.68	6.77	7.23	6.89	0.043				N	1	2	0	DO Temp: 26.3, pH Temp: 26.2, calm water		
yes	yes	yes	no	no	79	Polanui	TMO	GS	KG	RB	OSF	OSF201111	2027	Olowalu Pier	2020-11-11	9:15	1	1	5	1	3					OSF201111	26.0	35.0	6.53	97.6	8.06	1.32	1.35	1.42	1.36	0.038				N	0	1	0	DO Temp: 26.2, pH Temp: 26.1, very sunny, small waves, but bigger than normal		
yes	yes	yes	no	no	79	Polanui	TMO	GS	KG	RB	OCO	OCO201111	2028	Camp Olowalu	2020-11-11	9:32	1	1	5	1	3					OCO201111	25.7	35.0	6.22	92.6	8.07	1.04	1.02	1.12	1.06	0.050				N	4	3	0	DO Temp: 25.9, pH Temp: 25.8, partly cloudy/little no waves, 4 divers 		
yes	yes	yes	no	no	79	Polanui	TMO	GS	KG	RB	OPP	OPP201111	2034	Papalaua Pali	2020-11-11	9:46	1	1	5	1	3					OPP201111	25.8	34.5	6.62	98.5	8.10	13.50	13.90	13.90	13.77	0.017				N	0	1	0	DO Temp: 26.0, pH Temp: 25.9, very windy!		
yes	yes	yes	no	no	80	Polanui	TMO	RB	KG	KH	PFF	PFF201202	2022	505 Front St	2020-12-02	8:21	2	NBBF	6	2	2					PFF201202	25.2	34.7	6.68	98.4	8.13	2.89	3.52	2.99	3.13	0.108				Y	0	1	0	4th turbidity: 2.82; dog present		
yes	yes	yes	no	no	80	Polanui	TMO	RB	KG	KH	PLH	PLH201202	2023	Lindsey Hale	2020-12-02	8:45	2	NBBF	6	2	2					PLH201202	24.9	34.8	6.69	98.0	8.13	14.60	14.40	14.00	14.33	0.021				N	0	0	0			
yes	yes	yes	no	no	80	Polanui	TMO	RB	KG	KH	PLT	PLT201202	2024	Lahaina Town	2020-12-02	9:02	2	NBBF	6	2	2					PLT201202	25.0	34.6	6.07	89.0	8.08	15.00	15.80	15.30	15.37	0.026				N	0	0	0			
yes	yes	yes	no	no	80	Polanui	TMO	RB	KG	KH	OSF	OSF201202	2027	Olowalu Pier	2020-12-02	9:31	2	NBBF	6	2	2					OSF201202	25.3	35.1	6.49	96.1	8.09	1.75	1.66	1.85	1.75	0.054				N	1	4	0	dog present		
yes	yes	yes	no	no	80	Polanui	TMO	RB	KG	KH	OCO	OCO201202	2028	Camp Olowalu	2020-12-02	9:47	2	NBBF	6	2	2					OCO201202	25.8	35.0	6.38	95.1	8.10	1.07	1.15	1.06	1.09	0.045				N	0	0	0			
yes	yes	yes	no	no	80	Polanui	TMO	RB	KG	KH	OPP	OPP201202	2034	Papalaua Pali	2020-12-02	10:02	2	NBBF	6	2	2					OPP201202	26.4	35.2	6.81	102.5	8.16	8.98	8.52	8.61	8.70	0.028				N	0	1	0			
yes	yes	yes	no	no	81	Polanui	PKL	RB	KG	KH	PFF	PFF201216	2022	505 Front St	2020-12-16	8:18	1	1	5	1	3					PFF201216	25.4	34.1	6.13	90.8	8.04	9.67	9.82	9.46	9.65	0.019				Y	0	0	0			
yes	yes	yes	no	no	81	Polanui	PKL	RB	KG	KH	PLH	PLH201216	2023	Lindsey Hale	2020-12-16	8:38	1	1	5	1	3					PLH201216	25.5	34.6	5.99	88.9	8.03	12.30	12.50	12.50	12.43	0.009				N	0	1	0			
yes	yes	yes	no	no	81	Polanui	PKL	RB	KG	KH	PLT	PLT201216	2024	Lahaina Town	2020-12-16	8:53	1	1	5	1	3					PLT201216	25.9	34.7	5.60	83.6	8.02	9.76	9.16	9.82	9.58	0.038				N	0	0	0			
yes	yes	yes	no	no	81	Polanui	PKL	RB	KG	KH	OSF	OSF201216	2027	Olowalu Pier	2020-12-16	9:25	1	1	5	1	3					OSF201216	25.7	35.0	5.97	88.9	8.00	2.46	2.51	2.81	2.59	0.073				N	2	3	0	Filming in progress, 2 jet skies in water. 3 guys in boat or on shore.		
yes	yes	yes	no	no	81	Polanui	PKL	RB	KG	KH	OCO	OCO201216	2028	Camp Olowalu	2020-12-16	9:36	1	1	5	1	3					OCO201216	25.7	35.0	6.06	90.6	8.06	1.16	1.31	1.16	1.21	0.072				N	0	3	0			
yes	yes	yes	no	no	81	Polanui	PKL	RB	KG	KH	OPP	OPP201216	2034	Papalaua Pali	2020-12-16	9:58	1	1	5	1	3					OPP201216	26.6	35.0	6.67	101.0	8.11	11.60	11.30	11.70	11.53	0.018				N	1	0	0	Site moved 80ft to right of previous site. Large rocks in water. Water was tossing rocks & hurting volunteers. 		
yes	yes	yes	no	no	82	Polanui	PKL	MB	KG	GS	PFF	PFF210113	2022	505 Front St	2021-01-13	8:09	2	NBBF	6	2	2					PFF210113	25.1	35.4	6.57	96.7	8.15	2.98	2.96	3.08	3.01	0.021				Y	0	0	0	*Rained earlier today at all sites, wet roads 		
yes	yes	yes	no	no	82	Polanui	PKL	MB	KG	GS	PLH	PLH210113	2023	Lindsey Hale	2021-01-13	8:33	2	NBBF	6	2	2					PLH210113	25.0	34.8	6.49	95.3	8.13	9.67	10.50	10.10	10.09	0.041				N	0	1	0	*Fire on south side of Laniapoko yesterday (1/12/21)		
yes	yes	yes	no	no	82	Polanui	PKL	MB	KG	GS	PLT	PLT210113	2024	Lahaina Town	2021-01-13	8:55	2	NBBF	6	2	2					PLT210113	25.3	34.6	6.21	91.4	8.10	14.20	14.30	14.60	14.37	0.014				N	0	2	0			
yes	yes	yes	no	no	82	Polanui	PKL	MB	KG	GS	OCO	OCO210113	2028	Camp Olowalu	2021-01-13	9:27	2	NBBF	6	2	2					OCO210113	26.0	35.0	6.39	95.3	8.08	4.19	4.61	4.57	4.46	0.052				N	0	4	0			
yes	yes	yes	no	no	82	Polanui	PKL	MB	KG	GS	OPP	OPP210113	2034	Papalaua Pali	2021-01-13	9:43	2	NBBF	6	2	2					OPP210113	25.8	35.3	6.79	101.3	8.13	7.26	6.80	7.00	7.02	0.033				N	0	0	0			
yes	yes	yes	no	no	83	Polanui	DHS	MB	GS		PFF	PFF210204	2022	505 Front St	2021-02-04	8:19	2	2	4	2	2					PFF210204	23.2	34.8	6.75	96.5	8.10	4.29	4.26	4.39	4.31	0.016				Y	0	0	0	Sunny, rained last night, puddles in parking lot		
yes	yes	yes	no	no	83	Polanui	DHS	MB	GS		PLH	PLH210204	2023	Lindsey Hale	2021-02-04	8:44	2	2	4	2	2					PLH210204	23.4	34.4	6.78	97.3	8.10	20.20	19.20	19.90	19.77	0.026				Y	0	1	0	very eroded sand area from culvert to beach (2-3ft deep). Picture taken. 4th turbidity - 20.9 NTU		
yes	yes	yes	no	no	83	Polanui	DHS	MB	GS		PLT	PLT210204	2024	Lahaina Town	2021-02-04	9:03	2	2	4	2	2					PLT210204	22.7	33.9	6.79	95.9	8.10	17.90	18.60	17.70	18.07	0.026				N	0	0	0			
yes	yes	yes	no	no	83	Polanui	DHS	MB	GS		OCO	OCO210204	2028	Camp Olowalu	2021-02-04	9:35	2	2	4	2	2					OCO210204	23.6	34.6	6.43	92.6	8.05	2.23	2.43	2.31	2.32	0.043				N	0	0	0	cloudy, no waves/small waves 		
yes	yes	yes	no	no	83	Polanui	DHS	MB	GS		OPP	OPP210204	2034	Papalaua Pali	2021-02-04	10:01	2	2	4	2	2					OPP210204	23.9	34.9	6.78	98.1	8.10	18.10	17.80	17.20	17.70	0.026				N	0	0	0			
yes	yes	yes	no	no	84	Polanui	KAL	MB	KG	KH	PFF	PFF210224	2022	505 Front St	2021-02-24	8:13	1	1	5	1	3					PFF210224	24.4	33.9	6.06	87.9	8.09	6.23	6.04	6.16	6.14	0.016				Y	1	2	0			
yes	yes	yes	no	no	84	Polanui	KAL	MB	KG	KH	PLH	PLH210224	2023	Lindsey Hale	2021-02-24	8:37	1	1	5	1	3					PLH210224	24.4	33.4	5.86	84.8	8.08	5.13	5.40	5.19	5.24	0.027				N	0	2	0	Stream carved out by surf - normally buried by sand, no flow today		
yes	yes	yes	no	no	84	Polanui	KAL	MB	KG	KH	PLT	PLT210224	2024	Lahaina Town	2021-02-24	8:57	1	1	5	1	3					PLT210224	24.6	33.4	5.84	85.0	8.07	7.79	7.40	7.95	7.71	0.037				N	6	3	0	Kayak & SUP class in progress, 4th turbidity reading = 7.22		
yes	yes	yes	no	no	84	Polanui	KAL	MB	KG	KH	OCO	OCO210224	2028	Camp Olowalu	2021-02-24	9:26	1	1	5	1	3					OCO210224	24.1	34.7	6.49	94.1	8.10	1.66	1.57	1.52	1.58	0.045				N	0	0	0			
yes	yes	yes	no	no	84	Polanui	KAL	MB	KG	KH	OPP	OPP210224	2034	Papalaua Pali	2021-02-24	9:45	1	1	5	1	3					OPP210224	24.8	34.8	6.84	100.4	8.16	6.05	6.18	6.27	6.17	0.018				N	0	0	0			
yes	yes	yes	no	no	85	Polanui	KAL	MB	GS	KG	PFF	PFF210317	2022	505 Front St	2021-03-17	8:13	2	NBBF	6	2	2					PFF210317	23.9	34.1	6.33	90.8	8.06	4.32	4.30	4.19	4.27	0.016				Y	0	4	0	*Pre sampling blank would not go below 0.10. Large puddle at 505 parking lot, rained last night. Sunny, small waves, running stream		
yes	yes	yes	no	no	85	Polanui	KAL	MB	GS	KG	PLH	PLH210317	2023	Lindsey Hale	2021-03-17	8:39	2	NBBF	6	2	2					PLH210317	24.4	33.9	6.09	87.7	8.07	8.00	7.39	8.51	7.97	0.070				N	0	2	0	3-4' of downcutting at "stream" picture taken by Grace. 4th turbidity reading: 6.93		
yes	yes	yes	no	no	85	Polanui	KAL	MB	GS	KG	PLT	PLT210317	2024	Lahaina Town	2021-03-17	8:55	2	NBBF	6	2	2					PLT210317	24.8	33.9	6.04	87.9	8.08	15.50	14.30	14.40	14.73	0.045				N	1	1	0	guy in water w/ kayaks, SUP further offshore		
yes	yes	yes	no	no	85	Polanui	KAL	MB	GS	KG	OCO	OCO210317	2028	Camp Olowalu	2021-03-17	9:20	2	NBBF	6	2	2					OCO210317	25.0	34.6	6.31	92.5	8.07	1.76	1.80	1.79	1.78	0.012				N	0	0	0	slightly drizzling, calm water 		
