Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+		
yes	yes	yes	no	no	75	R2RN	LLHS	MB	GS	LH	RKO	RKO200820	2008	Ka'opala Bay	2020-08-20	9:20	2	NBBF	6	2	2					RKO200820	26.1	34.0	6.24	93.0	8.08	9.16	9.19	9.79	9.38	0.038				N	0	0	0		
yes	yes	yes	no	no	75	R2RN	LLHS	MB	GS	LH	RKV	RKV200820	2074	Kahana Village	2020-08-20	9:36	2	NBBF	6	2	2					RKV200820	26.1	33.7	5.42	80.7	8.05	5.03	5.65	5.06	5.25	0.067				N	0	0	0		
yes	yes	yes	no	no	76	R2RN	TMO	MB	GS	LH	RHL	RHL200911	2001	Honolua Bay	2020-09-11	8:02	1	NBBF	5	2	3					RHL200911	26.0	34.7	6.18	92.6	8.11	0.84	0.69	0.73	0.75	0.103				N	0	1	0	RHL - Sailboat in bay, 4th turbidity reading - 1.10	
yes	yes	yes	no	no	76	R2RN	TMO	MB	GS	LH	RON	RON200911	2004	Oneloa Bay	2020-09-11	8:35	1	NBBF	5	2	3					RON200911	26.2	35.0	6.72	101.2	8.14	0.70	0.85	0.69	0.75	0.120				N	0	1	0		
yes	yes	yes	no	no	76	R2RN	TMO	MB	GS	LH	RFS	RFS200911	2005	Kapalua Bay	2020-09-11	8:55	1	NBBF	5	2	3					RFS200911	26.7	34.4	6.66	100.8	8.10	3.57	3.25	3.32	3.38	0.050				N	1	0	0		
yes	yes	yes	no	no	76	R2RN	TMO	MB	GS	LH	RKO	RKO200911	2008	Ka'opala Bay	2020-09-11	9:26	1	NBBF	5	2	3					RKO200911	26.6	34.1	6.37	95.7	8.05	13.20	13.20	12.90	13.10	0.013				N	0	2	0		
yes	yes	yes	no	no	76	R2RN	TMO	MB	GS	LH	RKV	RKV200911	2074	Kahana Village	2020-09-11	9:42	1	NBBF	5	2	3					RKV200911	26.8	34.8	6.65	100.9	8.09	29.30	29.30	29.30	29.30	0.000				N	0	0	0	Can't tell is first reading is 24.3 or 29.3 	
yes	yes	yes	no	no	77	R2RN	TMO	MB	GS	CH	RHL	RHL201001	2001	Honolua Bay	2020-10-01	8:00	2	1	6	2	2					RHL201001	26.3	33.6	6.55	98.1	8.11	56.90	64.00	60.70	60.53	0.059				N	0	1	0	Fourth turbidity reading: 53.1	
yes	yes	yes	no	no	77	R2RN	TMO	MB	GS	CH	RON	RON201001	2004	Oneloa Bay	2020-10-01	8:38	2	1	6	2	2					RON201001	27.3	35.1	6.58	101.0	8.16	1.46	1.57	1.49	1.51	0.038				N	0	1	0	*West Maui Fire by Kapalua airport yesterday	
yes	yes	yes	no	no	77	R2RN	TMO	MB	GS	CH	RFS	RFS201001	2005	Kapalua Bay	2020-10-01	8:55	2	1	6	2	2					RFS201001	27.4	34.4	6.73	103.2	8.16	4.71	4.70	4.90	4.77	0.024				N	1	4	0		
yes	yes	yes	no	no	77	R2RN	TMO	MB	GS	CH	RKO	RKO201001	2008	Ka'opala Bay	2020-10-01	9:20	2	1	6	2	2					RKO201001	26.8	34.2	6.55	99.2	8.08	9.33	9.15	9.20	9.23	0.010				N	2	0	0		
yes	yes	yes	no	no	77	R2RN	TMO	MB	GS	CH	RKV	RKV201001	2074	Kahana Village	2020-10-01	9:40	2	1	6	2	2					RKV201001	27.9	34.9	6.96	107.7	8.21	6.56	6.49	6.74	6.60	0.020				N	0	0	0		
yes	yes	yes	no	no	78	R2RN	TMO	JS	MB	GS	RHL	RHL201022	2001	Honolua Bay	2020-10-22	8:00	1	NBBF	5	1	3					RHL201022	25.4	34.9	6.21	92.3	8.13	0.42	0.46	0.43	0.44	0.048				N	2	0	0	water very clear, little wave action	
yes	yes	yes	no	no	78	R2RN	TMO	JS	MB	GS	RON	RON201022	2004	Oneloa Bay	2020-10-22	8:35	1	NBBF	5	1	3					RON201022	26.5	35.0	6.52	98.9	8.13	0.75	0.76	0.74	0.75	0.013				N	0	0	0	clear skies, shore break waves	
yes	yes	yes	no	no	78	R2RN	TMO	JS	MB	GS	RFS	RFS201022	2005	Kapalua Bay	2020-10-22	8:55	1	NBBF	5	1	3					RFS201022	27.0	35.0	6.41	98.1	8.10	1.62	1.62	1.56	1.60	0.022				N	3	0	0	water is very clear, small 1 in fish in sampling area	
yes	yes	yes	no	no	78	R2RN	TMO	JS	MB	GS	RKO	RKO201022	2008	Ka'opala Bay	2020-10-22	9:15	1	NBBF	5	1	3					RKO201022	26.9	34.7	5.91	89.9	8.04	8.47	8.58	8.40	8.48	0.011				N	0	0	0	road construction	
yes	yes	yes	no	no	78	R2RN	TMO	JS	MB	GS	RKV	RKV201022	2074	Kahana Village	2020-10-22	9:30	1	NBBF	5	1	3					RKV201022	27.3	34.5	6.14	93.9	8.03	9.29	9.85	9.07	9.40	0.043				N	0	1	0	soapy-looking foam on surface (picture taken); fourth turbidity reading is 10.01	
yes	yes	yes	no	no	79	R2RN	TMO	CH	MB	GS	RHL	RHL201112	2001	Honolua Bay	2020-11-12	7:55	1	1	5	1	3					RHL201112	24.9	33.8	6.34	92.3	8.11	0.88	0.99	0.91	0.93	0.061				N	0	0	0	DO Temp: 25.1, pH Temp 25.0, smells like sulfur	
yes	yes	yes	no	no	79	R2RN	TMO	CH	MB	GS	RON	RON201112	2004	Oneloa Bay	2020-11-12	8:25	1	1	5	1	3					RON201112	25.3	34.7	6.72	99.2	8.14	0.91	0.86	0.81	0.86	0.058				N	0	2	0	DO Temp: 25.5, pH Temp 25.4, dog on beach & medium surf	
yes	yes	yes	no	no	79	R2RN	TMO	CH	MB	GS	RFS	RFS201112	2005	Kapalua Bay	2020-11-12	8:46	1	1	5	1	3					RFS201112	25.3	33.6	6.59	96.6	8.07	1.20	1.20	1.17	1.19	0.015				N	0	1	0	DO Temp: 25.5, pH Temp: 25.5, calm	
yes	yes	yes	no	no	79	R2RN	TMO	CH	MB	GS	RKO	RKO201112	2008	Ka'opala Bay	2020-11-12	9:06	1	1	5	1	3					RKO201112	25.3	34.2	6.48	95.1	8.08	6.23	6.12	6.30	6.22	0.015				N	0	0	0	DO Temp: 25.5, pH Temp: 25.4	
yes	yes	yes	no	no	79	R2RN	TMO	CH	MB	GS	RKV	RKV201112	2074	Kahana Village	2020-11-12	9:24	1	1	5	1	3					RKV201112	24.8	34.2	6.55	95.4	8.04	6.96	8.38	6.91	7.42	0.113				N	0	0	0	DO Temp: 25.0, pH Temp: 24.9, calm, 4th turbidity reading: 8.17	
yes	yes	yes	no	no	80	R2RN	TMO	MB	GS	LH	RHL	RHL201203	2001	Honolua Bay	2020-12-03	7:56	2	NBBF	6	2	2					RHL201203	24.5	35.2	6.67	97.2	8.10	41.90	42.30	43.50	42.57	0.020				N	0	0	0	the area where the stream meets the ocean is cleared of rocks (sign of heavy stream flow to the ocean?)	
yes	yes	yes	no	no	80	R2RN	TMO	MB	GS	LH	RON	RON201203	2004	Oneloa Bay	2020-12-03	8:30	2	NBBF	6	2	2					RON201203	25.5	35.4	6.80	101.0	8.15	1.70	1.74	1.72	1.72	0.012				N	0	0	0		
yes	yes	yes	no	no	80	R2RN	TMO	MB	GS	LH	RFS	RFS201203	2005	Kapalua Bay	2020-12-03	8:48	2	NBBF	6	2	2					RFS201203	25.8	35.2	6.86	102.2	8.15	3.51	3.72	3.85	3.69	0.046				N	1	5	0	very sunny and larger waves than normal	
yes	yes	yes	no	no	80	R2RN	TMO	MB	GS	LH	RKO	RKO201203	2008	Ka'opala Bay	2020-12-03	9:11	2	NBBF	6	2	2					RKO201203	25.0	34.9	6.66	97.6	8.08	15.70	16.20	15.60	15.83	0.020				N	2	0	0	4th turbidity: 16.13	
yes	yes	yes	no	no	80	R2RN	TMO	MB	GS	LH	RKV	RKV201203	2074	Kahana Village	2020-12-03	9:25	2	NBBF	6	2	2					RKV201203	25.6	35.1	6.90	102.3	8.13	6.65	5.62	6.19	6.15	0.084				N	0	0	0	debris on beach, construction on street	
yes	yes	yes	no	no	81	R2RN	PKL	MB	LB	LH	RHL	RHL201217	2001	Honolua Bay	2020-12-17	8:05	1	1	5	1	3					RHL201217	24.9	34.8	6.41	94.4	8.12	8.58	8.82	8.57	8.66	0.016				N	0	0	0		
yes	yes	yes	no	no	81	R2RN	PKL	MB	LB	LH	RON	RON201217	2004	Oneloa Bay	2020-12-17	8:45	1	1	5	1	3					RON201217	25.3	35.1	6.71	99.6	8.14	1.51	1.24	1.20	1.32	0.128				N	3	2	0	4th turbidity reading: 1.08	
yes	yes	yes	no	no	81	R2RN	PKL	MB	LB	LH	RFS	RFS201217	2005	Kapalua Bay	2020-12-17	9:05	1	1	5	1	3					RFS201217	25.4	35.0	6.70	99.5	8.11	2.32	2.20	2.85	2.46	0.141				N	5	8	0		
yes	yes	yes	no	no	81	R2RN	PKL	MB	LB	LH	RKO	RKO201217	2008	Ka'opala Bay	2020-12-17	9:24	1	1	5	1	3					RKO201217	25.3	34.7	6.51	96.4	8.08	8.60	9.96	8.47	9.01	0.092				N	0	0	0	Water is pretty brown/murky 4th turbidity reading 7.90,9.02,8.48?	
yes	yes	yes	no	no	81	R2RN	PKL	MB	LB	LH	RKV	RKV201217	2074	Kahana Village	2020-12-17	9:40	1	1	5	1	3					RKV201217	25.5	34.7	6.73	100.0	8.12	6.99	7.39	6.70	7.03	0.049				N	0	0	0		
yes	yes	yes	no	no	82	R2RN	PKL	GS	JS		RHL	RHL210114	2001	Honolua Bay	2021-01-14	8:05	2	NBBF	6	2	2					RHL210114	24.5	35.2	6.90	100.6	8.16	86.20	88.10	88.10	87.47	0.013				N	0	2	0	Large waves & shorebreak (2-3ft), sunny	
yes	yes	yes	no	no	82	R2RN	PKL	GS	JS		RON	RON210114	2004	Oneloa Bay	2021-01-14	8:40	2	NBBF	6	2	2					RON210114	25.3	35.4	6.92	102.4	8.18	2.00	2.37	2.58	2.32	0.127				N	0	0	0	4-5 ft waves, sunny	
yes	yes	yes	no	no	82	R2RN	PKL	GS	JS		RFS	RFS210114	2005	Kapalua Bay	2021-01-14	9:02	2	NBBF	6	2	2					RFS210114	25.4	35.4	6.88	102.0	8.18	12.20	11.80	11.30	11.77	0.038				N	0	6	0	Erosion of steps (blocked off)	
yes	yes	yes	no	no	82	R2RN	PKL	GS	JS		RKO	RKO210114	2008	Ka'opala Bay	2021-01-14	9:26	2	NBBF	6	2	2					RKO210114	25.0	34.8	6.92	101.5	8.14	40.10	39.70	41.10	40.30	0.018				N	0	0	0	3 ft waves 	
yes	yes	yes	no	no	82	R2RN	PKL	GS	JS		RKV	RKV210114	2074	Kahana Village	2021-01-14	9:40	2	NBBF	6	2	2					RKV210114	25.6	35.3	7.11	105.8	8.22	9.63	10.10	9.30	9.68	0.042				N	0	2	0		
yes	yes	yes	no	no	83	R2RN	DHS	GS	MB		RHL	RHL210203	2001	Honolua Bay	2021-02-03	10:39	2	2	4	2	2					RHL210203	23.6	33.4	6.64	95.3	8.17	2.50	2.89	3.05	2.81	0.101				N	0	3	0	Stream not flowing into ocean but is flowing inland. Debris near ocean from prevous rain. Raining and 5th turbidity reading = 3.57 with dark floating particles	
yes	yes	yes	no	no	83	R2RN	DHS	GS	MB		RON	RON210203	2004	Oneloa Bay	2021-02-03	11:19	2	2	4	2	2					RON210203	24.6	35.2	6.74	99.5	8.17	0.44	0.40	0.45	0.43	0.062				N	0	2	0	Not raining, 2nd salinity = 35 ppt	
yes	yes	yes	no	no	83	R2RN	DHS	GS	MB		RFS	RFS210203	2005	Kapalua Bay	2021-02-03	11:42	2	2	4	2	2					RFS210203	24.2	34.9	6.68	97.9	8.15	1.75	1.72	1.83	1.77	0.032				N	0	0	0	Not raining, 1.5' waves, rained earlier today	
yes	yes	yes	no	no	83	R2RN	DHS	GS	MB		RKO	RKO210203	2008	Ka'opala Bay	2021-02-03	12:26	2	2	4	2	2					RKO210203	24.4	34.0	6.80	99.2	8.20	7.11	7.71	6.81	7.21	0.064				N	0	1	0	Cloudy, not raining, pH 2nd & 3rd reading - 8.20	
yes	yes	yes	no	no	83	R2RN	DHS	GS	MB		RKV	RKV210203	2074	Kahana Village	2021-02-03	12:43	2	2	4	2	2					RKV210203	24.3	34.0	6.83	99.5	8.19	13.40	12.50	12.30	12.73	0.046				N	0	0	0		
yes	yes	yes	no	no	84	R2RN	KAL	GS	LH	LB	RHL	RHL210225	2001	Honolua Bay	2021-02-25	8:00	1	1	5	1	3					RHL210225	23.3	34.6	6.38	91.2	8.13	2.41	2.02	2.00	2.14	0.108				N	0	0	0		
yes	yes	yes	no	no	84	R2RN	KAL	GS	LH	LB	RON	RON210225	2004	Oneloa Bay	2021-02-25	8:35	1	1	5	1	3					RON210225	24.1	34.9	6.80	98.9	8.16	1.22	1.22	1.32	1.25	0.046				N	4	0	0	Waves 2-3', surfers in water, windy	
yes	yes	yes	no	no	84	R2RN	KAL	GS	LH	LB	RFS	RFS210225	2005	Kapalua Bay	2021-02-25	8:55	1	1	5	1	3					RFS210225	23.9	34.3	6.64	95.9	8.11	1.87	1.80	1.84	1.84	0.019				N	5	9	0	Few people snorkeling, sunny & calm	
yes	yes	yes	no	no	84	R2RN	KAL	GS	LH	LB	RKO	RKO210225	2008	Ka'opala Bay	2021-02-25	9:20	1	1	5	1	3					RKO210225	23.8	34.2	6.60	95.0	8.10	6.41	6.30	6.36	6.36	0.009				N	0	0	0	No people, high tide, no visible stream water, except sand bags to the south that look new 	
yes	yes	yes	no	no	84	R2RN	KAL	GS	LH	LB	RKV	RKV210225	2074	Kahana Village	2021-02-25	9:35	1	1	5	1	3					RKV210225	24.0	33.9	6.94	99.9	8.16	6.69	8.47	7.07	7.41	0.127				N	2	3	0	Organic matter in turb, 4th reading =8.59	
yes	yes	yes	no	no	85	R2RN	KAL	LB	LH		RHL	RHL210318	2001	Honolua Bay	2021-03-18	8:00	2	NBBF	6	2	2					RHL210318	22.5	28.2	6.98	94.3	8.11	197.00	189.00	191.00	192.33	0.022				Y	0	0	0	*Raining	
yes	yes	yes	no	no	85	R2RN	KAL	LB	LH		RON	RON210318	2004	Oneloa Bay	2021-03-18	8:40	2	NBBF	6	2	2					RON210318	23.6	34.9	7.03	100.7	8.17	1.98	1.89	1.83	1.90	0.040				N	0	4	0	*Raining	
yes	yes	yes	no	no	85	R2RN	KAL	LB	LH		RFS	RFS210318	2005	Kapalua Bay	2021-03-18	9:00	2	NBBF	6	2	2					RFS210318	23.7	34.5	6.99	100.0	8.15	2.20	1.87	2.60	2.22	0.164				N	2	6	0	Pouring!	
yes	yes	yes	no	no	85	R2RN	KAL	LB	LH		RKO	RKO210318	2008	Ka'opala Bay	2021-03-18	9:30	2	NBBF	6	2	2					RKO210318	23.6	33.4	7.15	101.3	8.14	16.10	16.60	16.00	16.23	0.020				N	0	0	0	Rainbow	
yes	yes	yes	no	no	85	R2RN	KAL	LB	LH		RKV	RKV210318	2074	Kahana Village	2021-03-18	9:45	2	NBBF	6	2	2					RKV210318	24.3	33.7	7.57	108.8	8.24	15.30	16.60	16.40	16.10	0.043				Y	0	0	0	Oxygen 108.2 for second reading	
yes	yes	yes	no	no	86	R2RN	KAL	LB	LH	CH	RHL	RHL210408	2001	Honolua Bay	2021-04-08	8:00	1	1	5	1	3					RHL210408	22.7	29.7	6.81	93.3	8.12	38.70	58.20	46.00	47.63	0.207				Y	0	3	0	4th turbidity: 42.2, 5th: 53.2, sample had particulates/OM	
yes	yes	yes	no	no	86	R2RN	KAL	LB	LH	CH	RON	RON210408	2004	Oneloa Bay	2021-04-08	8:35	1	1	5	1	3					RON210408	23.6	35.0	6.89	99.0	8.16	0.99	0.89	0.93	0.94	0.054				N	0	0	0	large surf, lots of whitewater	
yes	yes	yes	no	no	86	R2RN	KAL	LB	LH	CH	RFS	RFS210408	2005	Kapalua Bay	2021-04-08	8:55	1	1	5	1	3					RFS210408	23.9	34.2	6.84	98.5	8.14	2.82	3.25	3.21	3.09	0.077				N	10	18	0		
yes	yes	yes	no	no	86	R2RN	KAL	LB	LH	CH	RKO	RKO210408	2008	Ka'opala Bay	2021-04-08	9:15	1	1	5	1	3					RKO210408	23.5	33.7	6.96	98.9	8.11	15.60	15.20	14.70	15.17	0.030				N	0	4	0	People fishing at sample spot, sampled slightly left of normal site, 4th turbidity: 17.9	
yes	yes	yes	no	no	86	R2RN	KAL	LB	LH	CH	RKV	RKV210408	2074	Kahana Village	2021-04-08	9:35	1	1	5	1	3					RKV210408	24.1	34.2	7.19	103.3	8.21	4.81	5.54	5.08	5.14	0.072				N	0	2	0		
yes	yes	yes	no	no	87	R2RN	KAL	CS	LH	GS	RHL	RHL210429	2001	Honolua Bay	2021-04-29	7:58	2	NBBF	6	2	2					RHL210429	24.3	33.4	6.50	93.5	8.04	18.10	17.20	18.70	18.00	0.042				N	3	5	0	very murky, 4th turbidity: 15.4	
yes	yes	yes	no	no	87	R2RN	KAL	CS	LH	GS	RON	RON210429	2004	Oneloa Bay	2021-04-29	8:35	2	NBBF	6	2	2					RON210429	24.8	35.0	6.91	101.2	8.13	2.21	2.10	2.05	2.12	0.039				N	1	2	0		
yes	yes	yes	no	no	87	R2RN	KAL	CS	LH	GS	RFS	RFS210429	2005	Kapalua Bay	2021-04-29	9:05	2	NBBF	6	2	2					RFS210429	25.0	33.6	6.71	97.9	8.05	2.94	2.75	3.01	2.90	0.046				N	14	20	0		
yes	yes	yes	no	no	87	R2RN	KAL	CS	LH	GS	RKO	RKO210429	2008	Ka'opala Bay	2021-04-29	9:28	2	NBBF	6	2	2					RKO210429	25.3	34.2	6.52	95.8	8.04	8.45	8.73	8.81	8.66	0.022				N	0	4	0		
yes	yes	yes	no	no	87	R2RN	KAL	CS	LH	GS	RKV	RKV210429	2074	Kahana Village	2021-04-29	9:45	2	NBBF	6	2	2					RKV210429	25.7	34.2	6.67	98.8	8.03	5.33	5.53	5.08	5.31	0.042				N	1	0	0		
yes	yes	yes	no	no	88	R2RN	KAL	MB	LH	LB	RHL	RHL210520	2001	Honolua Bay	2021-05-20	8:01	1	1	5	1	3					RHL210520	23.8	33.7	6.36	91.1	8.11	1.40	1.47	2.01	1.63	0.205				N	0	7	0	Raining; 4th turbidity: 1.43	
yes	yes	yes	no	no	88	R2RN	KAL	MB	LH	LB	RON	RON210520	2004	Oneloa Bay	2021-05-20	8:36	1	1	5	1	3					RON210520	24.6	34.8	6.80	99.5	8.15	0.51	0.56	0.56	0.54	0.053				N	1	0	0	Raining	
yes	yes	yes	no	no	88	R2RN	KAL	MB	LH	LB	RFS	RFS210520	2005	Kapalua Bay	2021-05-20	9:00	1	1	5	1	3					RFS210520	24.1	34.2	6.44	94.5	8.01	1.00	0.91	1.00	0.97	0.054				N	10	16	0	Construction in parking lot, dune restoration at steps	
yes	yes	yes	no	no	88	R2RN	KAL	MB	LH	LB	RKO	RKO210520	2008	Ka'opala Bay	2021-05-20	9:22	1	1	5	1	3					RKO210520	25.1	34.2	6.24	91.7	8.07	5.04	5.25	5.13	5.14	0.020				N	0	0	0		
yes	yes	yes	no	no	88	R2RN	KAL	MB	LH	LB	RKV	RKV210520	2074	Kahana Village	2021-05-20	9:40	1	1	5	1	3					RKV210520	25.1	34.1	6.24	91.5	8.07	8.95	12.10	16.20	12.42	0.293				N	0	3	0	4th turbidity: 10.4; 5th turbidity: 12.3; water in "stream" under bridge on Lower Rd but not flowing into ocean	
yes	yes	yes	no	no	89	R2RN	KAL	MB	LH	NS	RHL	RHL210610	2001	Honolua Bay	2021-06-10	8:00	2	NBBF	6	1	2					RHL210610	24.8	33.8	6.16	89.3	8.10	2.30	3.06	3.73	3.03	0.236				N	15	10	0	lots of particles in turbidity sample bottle; 4th turbidity: 5.44 NTU For all: sprinling in Kahana last night; ground is wet; calm day	
yes	yes	yes	no	no	89	R2RN	KAL	MB	LH	NS	RON	RON210610	2004	Oneloa Bay	2021-06-10	8:40	2	NBBF	6	1	2					RON210610	25.2	34.8	6.82	100.2	8.17	0.87	0.78	0.84	0.83	0.055				N	2	1	0	small waves, wind	
yes	yes	yes	no	no	89	R2RN	KAL	MB	LH	NS	RFS	RFS210610	2005	Kapalua Bay	2021-06-10	9:00	2	NBBF	6	1	2					RFS210610	25.5	34.4	6.04	89.0	8.05	1.02	1.09	0.92	1.01	0.085				N	25	27	0		
yes	yes	yes	no	no	89	R2RN	KAL	MB	LH	NS	RKO	RKO210610	2008	Ka'opala Bay	2021-06-10	9:30	2	NBBF	6	1	2					RKO210610	26.0	34.3	5.92	87.8	8.05	4.46	4.68	4.82	4.65	0.039				N	0	4	0		
yes	yes	yes	no	no	89	R2RN	KAL	MB	LH	NS	RKV	RKV210610	2074	Kahana Village	2021-06-10	9:50	2	NBBF	6	1	2					RKV210610	26.0	34.0	5.77	85.5	8.05	4.83	4.86	5.16	4.95	0.037				N	5	9	0		
yes	yes	yes	no	no	90	R2RN	KAL	LB	LH	SC	RHL	RHL210701	2001	Honolua Bay	2021-07-01	7:54	1	1	5	1	3					RHL210701	25.2	34.7	5.93	87.7	8.10	0.92	1.09	1.93	1.31	0.412				N	5	19	0	2 snorkel boats & 21 further out	
yes	yes	yes	no	no	90	R2RN	KAL	LB	LH	SC	RON	RON210701	2004	Oneloa Bay	2021-07-01	8:36	1	1	5	1	3					RON210701	25.4	35.3	6.60	98.2	8.14	1.43	1.47	1.43	1.44	0.016				N	0	5	0	started drizzling	
yes	yes	yes	no	no	90	R2RN	KAL	LB	LH	SC	RFS	RFS210701	2005	Kapalua Bay	2021-07-01	8:46	1	1	5	1	3					RFS210701	25.3	34.5	6.32	93.6	8.06	2.83	2.63	2.73	2.73	0.037				N	10	24	0		
yes	yes	yes	no	no	90	R2RN	KAL	LB	LH	SC	RKO	RKO210701	2008	Ka'opala Bay	2021-07-01	9:15	1	1	5	1	3					RKO210701	25.8	34.2	6.27	93.3	8.06	14.60	14.50	14.10	14.40	0.018				N	4	2	0		
yes	yes	yes	no	no	90	R2RN	KAL	LB	LH	SC	RKV	RKV210701	2074	Kahana Village	2021-07-01	9:29	1	1	5	1	3					RKV210701	25.5	34.7	6.13	91.0	7.99	13.60	13.60	12.50	13.23	0.048				N	0	0	0		
yes	yes	yes	no	no	91	R2RN	KAL	LB	LH		RHL	RHL210722	2001	Honolua Bay	2021-07-22	7:50	2	NBBF	6	1	4					RHL210722	25.5	34.3	5.80	85.6	8.12	10.30	11.20	10.40	10.63	0.046				N	10	11	0		
yes	yes	yes	no	no	91	R2RN	KAL	LB	LH		RON	RON210722	2004	Oneloa Bay	2021-07-22	8:35	2	NBBF	6	1	4					RON210722	25.9	35.1	6.84	102.2	8.22	1.21	1.12	1.02	1.12	0.085				N	0	2	0		
yes	yes	yes	no	no	91	R2RN	KAL	LB	LH		RFS	RFS210722	2005	Kapalua Bay	2021-07-22	9:00	2	NBBF	6	1	4					RFS210722	26.3	35.5	6.21	93.6	8.09	1.87	1.74	1.85	1.82	0.038				N	35	43	0		
yes	yes	yes	no	no	91	R2RN	KAL	LB	LH		RKO	RKO210722	2008	Ka'opala Bay	2021-07-22	9:25	2	NBBF	6	1	4					RKO210722	26.2	34.2	6.40	95.5	8.12	6.72	6.77	6.90	6.80	0.014				N	0	1	0		
yes	yes	yes	no	no	91	R2RN	KAL	LB	LH		RKV	RKV210722	2074	Kahana Village	2021-07-22	9:42	2	NBBF	6	1	4					RKV210722	26.1	35.1	6.39	95.7	8.12	5.98	6.28	6.70	6.32	0.057				N	0	13	0		
yes	yes	yes	no	no	92	R2RN	KAL	LB	LH		RHL	RHL210812	2001	Honolua Bay	2021-08-12	7:59	1	1	6	1	3					RHL210812	25.0	34.6	6.08	89.4	8.13	1.11	1.21	1.18	1.17	0.044				N	3	2	0	local said stream was flowing yesterday	
yes	yes	yes	no	no	92	R2RN	KAL	LB	LH		RON	RON210812	2004	Oneloa Bay	2021-08-12	8:31	1	1	6	1	3					RON210812	25.7	35.3	6.56	98.2	8.15	0.67	0.64	0.64	0.65	0.027				N	1	2	0		
yes	yes	yes	no	no	92	R2RN	KAL	LB	LH		RFS	RFS210812	2005	Kapalua Bay	2021-08-12	8:53	1	1	6	1	3					RFS210812	26.1	35.1	6.33	95.6	8.01	3.13	2.92	2.98	3.01	0.036				N	9	23	0	triple checked pH...got 8.01 all three times 	
yes	yes	yes	no	no	92	R2RN	KAL	LB	LH		RKO	RKO210812	2008	Ka'opala Bay	2021-08-12	9:20	1	1	6	1	3					RKO210812	25.7	34.8	6.22	93.0	8.07	5.98	5.79	5.82	5.86	0.017				N	0	3	0	very calm, lower tide, slightly murky	
yes	yes	yes	no	no	92	R2RN	KAL	LB	LH		RKV	RKV210812	2074	Kahana Village	2021-08-12	9:40	1	1	6	1	3					RKV210812	26.2	34.2	5.72	85.7	8.06	8.91	8.51	8.90	8.77	0.026				N	1	1	0	little fish near sampling area, double checked D.O.	
yes	yes	yes	no	no	93	R2RN	KAL	LH	CH	NS	RHL	RHL210902	2001	Honolua Bay	2021-09-02	7:50	2	NBBF	6	4	4					RHL210902	25.8	35.2	5.90	89.7	8.15	2.31	1.93	2.00	2.08	0.097				N	7	5	0	flat, calm water	
yes	yes	yes	no	no	93	R2RN	KAL	LH	CH	NS	RON	RON210902	2004	Oneloa Bay	2021-09-02	8:23	2	NBBF	6	4	4					RON210902	26.2	35.5	6.70	101.4	8.18	1.41	1.57	1.45	1.48	0.056				N	0	2	0	shore break	
yes	yes	yes	no	no	93	R2RN	KAL	LH	CH	NS	RFS	RFS210902	2005	Kapalua Bay	2021-09-02	8:47	2	NBBF	6	4	4					RFS210902	26.7	35.5	6.37	97.4	8.10	2.78	2.86	3.15	2.93	0.066				N	12	13	0	lots of snorkelers further out, calm, slight swell	
yes	yes	yes	no	no	93	R2RN	KAL	LH	CH	NS	RKO	RKO210902	2008	Ka'opala Bay	2021-09-02	9:12	2	NBBF	6	4	4					RKO210902	26.7	34.9	5.79	88.3	8.09	8.14	8.01	8.50	8.22	0.031				N	0	0	0	flat, calm, slight swell rolling in, debris floating, seemed cloudy	
yes	yes	yes	no	no	93	R2RN	KAL	LH	CH	NS	RKV	RKV210902	2074	Kahana Village	2021-09-02	9:29	2	NBBF	6	4	4					RKV210902	26.8	35.1	5.46	83.4	8.02	8.19	7.60	7.46	7.75	0.050				N	1	2	0	mostly calm, small shore break, cloudy water, 1 SUP in water, 2 resting on beach	
yes	yes	yes	no	no	94	R2RN	KAL	LH	CH	NS	RHL	RHL210923	2001	Honolua Bay	2021-09-23	7:55	1	1	6	1	3					RHL210923	24.8	34.8	6.21	91.3	8.17	7.18	8.60	7.07	7.62	0.112				N	4	9	0	tour catamaran in bay, light drizzle, ground wet (maybe rained over night or early morning), overcast	
yes	yes	yes	no	no	94	R2RN	KAL	LH	CH	NS	RON	RON210923	2004	Oneloa Bay	2021-09-23	8:35	1	1	6	1	3					RON210923	25.4	35.6	6.55	97.7	8.21	1.28	1.08	0.99	1.12	0.133				N	0	2	0	breezy, wave action, 1 surfer further out in wave break	
yes	yes	yes	no	no	94	R2RN	KAL	LH	CH	NS	RFS	RFS210923	2005	Kapalua Bay	2021-09-23	9:00	1	1	6	1	3					RFS210923	25.6	35.1	6.38	95.2	8.14	2.53	2.43	2.30	2.42	0.048				N	6	8	0	light breeze, clearer sky, no waves, slight influx of water	
